id,cap_numero,cap_nombre,subcap_numero,subcap_nombre,articulo_numero,parrafo_numero,parrafo_texto
001-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,1,1,"1. Chile es un Estado social y democrático de derecho. Es plurinacional,intercultural, regional y ecológico."
001-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,1,2,"2. Se constituye como una república solidaria. Su democracia es inclusiva yparitaria. Reconoce como valores intrínsecos e irrenunciables la dignidad, lalibertad, la igualdad sustantiva de los seres humanos y su relación indisolublecon la naturaleza."
001-3,1,Principios y disposiciones generales,1,Principios y disposiciones generales,1,3,"3. La protección y garantía de los derechos humanos individuales y colectivosson el fundamento del Estado y orientan toda su actividad. Es deber delEstado generar las condiciones necesarias y proveer los bienes y serviciospara asegurar el igual goce de los derechos y la integración de las personasen la vida política, económica, social y cultural para su pleno desarrollo."
002-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,2,1,"1. La soberanía reside en el pueblo de Chile, conformado por diversas naciones.Se ejerce democráticamente, de manera directa y representativa,reconociendo como límite los derechos humanos en cuanto atributo quederiva de la dignidad humana."
002-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,2,2,2. Ningún individuo ni sector del pueblo puede atribuirse su ejercicio.
003-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,3,4,"Chile, en su diversidad geográfica, natural, histórica y cultural, forma un territorio único e indivisible."
004-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,4,4,"Las personas nacen y permanecen libres, interdependientes e iguales endignidad y derechos."
005-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,5,1,1. Chile reconoce la coexistencia de diversos pueblos y naciones en el marcode la unidad del Estado.
005-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,5,2,"2. Son pueblos y naciones indígenas preexistentes los Mapuche, Aymara,Rapanui, Lickanantay, Quechua, Colla, Diaguita, Chango, Kawésqar, Yagán,Selk'nam y otros que puedan ser reconocidos en la forma que establezca laley."
005-3,1,Principios y disposiciones generales,1,Principios y disposiciones generales,5,3,"3. Es deber del Estado respetar, promover, proteger y garantizar el ejercicio dela libre determinación, los derechos colectivos e individuales de los cuales son titulares y su efectiva participación en el ejercicio y distribución delpoder, incorporando su representación política en órganos de elecciónpopular a nivel comunal, regional y nacional, así como en la estructura delEstado, sus órganos e instituciones."
006-1,1,Principios y disposiciones generales,1,Principios y disposiciones generales,6,1,"1. El Estado promueve una sociedad donde mujeres, hombres, diversidades ydisidencias sexuales y de género participen en condiciones de igualdadsustantiva, reconociendo que su representación efectiva es un principio ycondición mínima para el ejercicio pleno y sustantivo de la democracia y laciudadanía."
006-2,1,Principios y disposiciones generales,1,Principios y disposiciones generales,6,2,"2. Todos los órganos colegiados del Estado, los autónomos constitucionales, lossuperiores y directivos de la Administración, así como los directorios de lasempresas públicas y semipúblicas, deberán tener una composición paritariaque asegure que, al menos, el cincuenta por ciento de sus integrantes seanmujeres."
006-3,1,Principios y disposiciones generales,1,Principios y disposiciones generales,6,3,3. El Estado promoverá la integración paritaria en sus demás instituciones y entodos los espacios públicos y privados y adoptará medidas para larepresentación de personas de género diverso a través de los mecanismosque establezca la ley.
